ELEMENT,int atomicNumber,String symbol,String name,float atomicMass,Color cpkHexColor(,String),String electronConfiguration,float electronegativity,int atomicRadius,float ionizationEnergy,float electronAffinity,String oxidationStates,String standardState,float meltingPoint,float boilingPoint,double density,String groupBlock,Year yearDiscovered(,int)
FM,100,Fm,Fermium,257.09511,Color.decode(,B31FBA,[Rn] 5f12 7s2,1.3,,6.5,,3,Solid,1800,,,Actinide,Year.of(,1952
MD,101,Md,Mendelevium,258.09843,Color.decode(,B30DA6,[Rn]7s2 5f13,1.3,,6.58,,"+3, +2",Solid,1100,,,Actinide,Year.of(,1955
NO,102,No,Nobelium,259.101,Color.decode(,BD0D87,[Rn]7s2 5f14,1.3,,6.65,,"+3, +2",Solid,1100,,,Actinide,Year.of(,1957
LR,103,Lr,Lawrencium,266.12,Color.decode(,C70066,[Rn]7s2 5f14 6d1,1.3,,,,3,Solid,1900,,,Actinide,Year.of(,1961
RF,104,Rf,Rutherfordium,267.122,Color.decode(,CC0059,[Rn]7s2 5f14 6d2,,,,,4,Solid,,,,Transition metal,Year.of(,1964
DB,105,Db,Dubnium,268.126,Color.decode(,D1004F,[Rn]7s2 5f14 6d3,,,,,"5, 4, 3",Solid,,,,Transition metal,Year.of(,1967
SG,106,Sg,Seaborgium,269.128,Color.decode(,D90045,[Rn]7s2 5f14 6d4,,,,,"6, 5, 4, 3, 0",Solid,,,,Transition metal,Year.of(,1974
BH,107,Bh,Bohrium,270.133,Color.decode(,E00038,[Rn]7s2 5f14 6d5,,,,,"7, 5, 4, 3",Solid,,,,Transition metal,Year.of(,1976
HS,108,Hs,Hassium,269.1336,Color.decode(,E6002E,[Rn]7s2 5f14 6d6,,,,,"8, 6, 5, 4, 3, 2",Solid,,,,Transition metal,Year.of(,1984
MT,109,Mt,Meitnerium,277.154,Color.decode(,EB0026,[Rn]7s2 5f14 6d7 (calculated),,,,,"9, 8, 6, 4, 3, 1",Solid,,,,Transition metal,Year.of(,1982
DS,110,Ds,Darmstadtium,282.166,Color.decode(,,[Rn]7s2 5f14 6d8 (predicted),,,,,"8, 6, 4, 2, 0",Expected to be a Solid,,,,Transition metal,Year.of(,1994
RG,111,Rg,Roentgenium,282.169,Color.decode(,,[Rn]7s2 5f14 6d9 (predicted),,,,,"5, 3, 1, -1",Expected to be a Solid,,,,Transition metal,Year.of(,1994
CN,112,Cn,Copernicium,286.179,Color.decode(,,[Rn]7s2 5f14 6d10 (predicted),,,,,"2, 1, 0",Expected to be a Solid,,,,Transition metal,Year.of(,1996
NH,113,Nh,Nihonium,286.182,Color.decode(,,[Rn]5f14 6d10 7s2 7p1 (predicted),,,,,,Expected to be a Solid,,,,Post-transition metal,Year.of(,2004
FL,114,Fl,Flerovium,290.192,Color.decode(,,[Rn]7s2 7p2 5f14 6d10 (predicted),,,,,"6, 4,2, 1, 0",Expected to be a Solid,,,,Post-transition metal,Year.of(,1998
MC,115,Mc,Moscovium,290.196,Color.decode(,,[Rn]7s2 7p3 5f14 6d10 (predicted),,,,,"3, 1",Expected to be a Solid,,,,Post-transition metal,Year.of(,2003
LV,116,Lv,Livermorium,293.205,Color.decode(,,[Rn]7s2 7p4 5f14 6d10 (predicted),,,,,"+4, +2, -2",Expected to be a Solid,,,,Post-transition metal,Year.of(,2000
TS,117,Ts,Tennessine,294.211,Color.decode(,,[Rn]7s2 7p5 5f14 6d10 (predicted),,,,,"+5, +3, +1, -1",Expected to be a Solid,,,,Halogen,Year.of(,2010
OG,118,Og,Oganesson,295.216,Color.decode(,,[Rn]7s2 7p6 5f14 6d10 (predicted),,,,,"+6, +4, +2, +1, 0, -1",Expected to be a Gas,,,,Noble gas,Year.of(,2006
